spend,age
2947.0,38.0
3179.0,52.0
3083.0,48.0
2763.0,26.0
3169.0,37.0
2836.0,52.0
2967.0,30.0
2963.0,31.0
3151.0,38.0
3114.0,33.0
2735.0,47.0
2535.0,24.0
2859.0,49.0
2994.0,43.0
2707.0,52.0
2613.0,63.0
2977.0,49.0
2932.0,34.0
2837.0,27.0
2830.0,28.0
2879.0,31.0
3148.0,34.0
3111.0,30.0
3037.0,35.0
2541.0,24.0
2974.0,41.0
2974.0,40.0
3056.0,44.0
2852.0,38.0
2966.0,40.0
2962.0,41.0
2689.0,53.0
3006.0,33.0
2823.0,47.0
2583.0,57.0
2942.0,42.0
3113.0,47.0
2827.0,33.0
2786.0,58.0
2888.0,29.0
2876.0,45.0
3140.0,38.0
2911.0,52.0
3017.0,36.0
2853.0,47.0
2429.0,60.0
2819.0,33.0
2931.0,25.0
2953.0,40.0
2914.0,45.0
2858.0,50.0
2716.0,30.0
2693.0,46.0
2974.0,37.0
2948.0,44.0
2971.0,48.0
3023.0,40.0
2962.0,34.0
2913.0,35.0
3058.0,45.0
3000.0,39.0
2988.0,33.0
2404.0,63.0
2960.0,39.0
3049.0,35.0
2971.0,49.0
3128.0,32.0
2875.0,48.0
2856.0,30.0
2992.0,33.0
3000.0,48.0
2523.0,56.0
2810.0,27.0
3014.0,48.0
2950.0,49.0
3005.0,39.0
2820.0,30.0
2799.0,29.0
2964.0,36.0
3058.0,37.0
2986.0,43.0
2845.0,48.0
2886.0,28.0
3017.0,39.0
2794.0,48.0
3057.0,42.0
2883.0,26.0
3016.0,28.0
2770.0,26.0
2715.0,24.0
2846.0,26.0
2851.0,45.0
2861.0,30.0
3053.0,31.0
3154.0,40.0
3069.0,43.0
2805.0,45.0
2640.0,61.0
2871.0,43.0
3039.0,32.0
3040.0,38.0
2996.0,31.0
3092.0,48.0
2863.0,31.0
2940.0,46.0
2852.0,26.0
2154.0,22.0
2958.0,44.0
2945.0,34.0
3004.0,26.0
2861.0,54.0
2862.0,34.0
3032.0,46.0
2965.0,28.0
2736.0,24.0
2785.0,30.0
3097.0,47.0
3171.0,40.0
2927.0,50.0
3055.0,26.0
2998.0,52.0
2525.0,61.0
2875.0,40.0
2756.0,56.0
2990.0,34.0
2842.0,23.0
2894.0,46.0
2246.0,68.0
2572.0,22.0
3134.0,38.0
2904.0,36.0
3069.0,42.0
2914.0,40.0
3059.0,52.0
3030.0,43.0
3034.0,32.0
3028.0,34.0
3046.0,36.0
2789.0,49.0
3133.0,30.0
2996.0,49.0
2910.0,55.0
2988.0,48.0
3072.0,46.0
2703.0,58.0
2959.0,34.0
2986.0,48.0
2904.0,31.0
2997.0,37.0
2870.0,32.0
3000.0,38.0
2989.0,49.0
3039.0,48.0
2980.0,46.0
3214.0,43.0
2971.0,52.0
2803.0,52.0
3050.0,45.0
2855.0,54.0
3100.0,38.0
2990.0,37.0
2761.0,25.0
3143.0,37.0
2654.0,27.0
2800.0,22.0
2678.0,41.0
3095.0,34.0
2967.0,29.0
2930.0,39.0
2725.0,29.0
2959.0,45.0
3035.0,28.0
3035.0,45.0
2727.0,30.0
3072.0,45.0
2967.0,50.0
2870.0,51.0
2489.0,60.0
3031.0,41.0
2956.0,38.0
3167.0,37.0
2994.0,35.0
2599.0,57.0
3005.0,40.0
2773.0,41.0
3007.0,38.0
2778.0,50.0
2893.0,41.0
2911.0,30.0
3012.0,46.0
2903.0,42.0
2519.0,61.0
2830.0,47.0
3023.0,44.0
2977.0,30.0
2862.0,31.0
2763.0,25.0
2797.0,36.0
2820.0,50.0
2931.0,42.0
2993.0,39.0
2996.0,45.0
2914.0,44.0
2569.0,58.0
2969.0,25.0
2902.0,46.0
2860.0,26.0
2999.0,49.0
3047.0,42.0
2947.0,40.0
2945.0,45.0
2507.0,24.0
2702.0,56.0
2963.0,38.0
3052.0,41.0
3116.0,47.0
2913.0,33.0
2805.0,52.0
2907.0,38.0
3200.0,41.0
2814.0,57.0
2994.0,35.0
3182.0,42.0
2917.0,39.0
2564.0,57.0
2978.0,41.0
2878.0,40.0
2870.0,45.0
2937.0,44.0
2886.0,35.0
2972.0,41.0
2741.0,20.0
2972.0,42.0
3089.0,44.0
2790.0,54.0
2924.0,36.0
2978.0,32.0
2878.0,44.0
3204.0,44.0
3044.0,36.0
2709.0,54.0
2953.0,27.0
2957.0,33.0
3044.0,51.0
2951.0,34.0
2905.0,47.0
2339.0,65.0
2916.0,51.0
3071.0,38.0
3044.0,34.0
3078.0,46.0
2336.0,24.0
2722.0,23.0
3085.0,38.0
3101.0,39.0
2966.0,29.0
2922.0,36.0
2968.0,42.0
3049.0,44.0
2895.0,33.0
2977.0,39.0
2948.0,47.0
2895.0,41.0
2817.0,24.0
2763.0,31.0
2919.0,32.0
3005.0,39.0
3035.0,41.0
2905.0,27.0
3011.0,35.0
2939.0,27.0
3143.0,36.0
3069.0,37.0
2927.0,48.0
3055.0,45.0
2934.0,51.0
2987.0,41.0
2956.0,43.0
2547.0,18.0
3044.0,42.0
2802.0,51.0
3037.0,39.0
3040.0,42.0
3030.0,33.0
2844.0,30.0
3176.0,42.0
2812.0,53.0
2602.0,26.0
3053.0,40.0
2988.0,40.0
2779.0,28.0
3076.0,50.0
2844.0,50.0
2890.0,41.0
3034.0,29.0
2719.0,48.0
2816.0,37.0
2255.0,21.0
2614.0,23.0
2846.0,38.0
3017.0,45.0
2815.0,40.0
2234.0,67.0
3185.0,45.0
3208.0,35.0
3185.0,40.0
3149.0,40.0
3087.0,42.0
2935.0,39.0
2867.0,52.0
2835.0,33.0
2642.0,24.0
2831.0,25.0
3035.0,34.0
2816.0,48.0
2757.0,49.0
3170.0,39.0
3211.0,31.0
2896.0,36.0
2973.0,28.0
3068.0,49.0
2905.0,47.0
2838.0,29.0
3006.0,35.0
2985.0,34.0
3019.0,33.0
3021.0,39.0
2910.0,31.0
3116.0,32.0
3073.0,33.0
2834.0,24.0
2572.0,18.0
3102.0,38.0
3015.0,42.0
2954.0,33.0
3129.0,38.0
3077.0,33.0
2890.0,41.0
3030.0,40.0
2833.0,54.0
3127.0,32.0
2836.0,37.0
2783.0,28.0
3066.0,29.0
2888.0,34.0
3247.0,44.0
3044.0,28.0
2812.0,46.0
2857.0,34.0
2920.0,46.0
2924.0,40.0
2923.0,42.0
3004.0,34.0
3037.0,37.0
3214.0,37.0
3118.0,48.0
2728.0,22.0
2933.0,30.0
2952.0,31.0
2871.0,26.0
2382.0,63.0
2823.0,56.0
2784.0,29.0
2792.0,21.0
2904.0,48.0
2504.0,61.0
2871.0,42.0
2884.0,32.0
2905.0,50.0
2889.0,48.0
2837.0,35.0
2859.0,51.0
2940.0,30.0
3058.0,47.0
2940.0,45.0
2852.0,41.0
2787.0,24.0
3041.0,38.0
2260.0,26.0
2853.0,57.0
2894.0,42.0
3080.0,46.0
2728.0,48.0
2679.0,24.0
2934.0,38.0
2969.0,28.0
3053.0,41.0
2548.0,58.0
2839.0,51.0
3125.0,37.0
2835.0,32.0
2890.0,50.0
2943.0,50.0
2763.0,53.0
2739.0,56.0
3015.0,40.0
2964.0,35.0
2954.0,44.0
2919.0,46.0
2863.0,45.0
2892.0,53.0
2997.0,36.0
2931.0,33.0
3001.0,43.0
2952.0,40.0
2790.0,50.0
2975.0,49.0
3113.0,32.0
3102.0,39.0
3067.0,41.0
2989.0,37.0
2806.0,46.0
2920.0,27.0
2981.0,41.0
2876.0,36.0
2750.0,56.0
3202.0,39.0
3028.0,44.0
2992.0,30.0
3017.0,47.0
3030.0,38.0
2886.0,38.0
2906.0,49.0
3165.0,36.0
3026.0,35.0
3074.0,41.0
3018.0,31.0
2876.0,46.0
2547.0,58.0
2944.0,26.0
2935.0,45.0
2972.0,41.0
2788.0,27.0
2824.0,28.0
3064.0,39.0
2861.0,24.0
2925.0,41.0
2792.0,55.0
2872.0,52.0
3072.0,47.0
3094.0,32.0
3004.0,49.0
2960.0,53.0
2983.0,42.0
2911.0,32.0
2943.0,38.0
2945.0,42.0
2777.0,33.0
2924.0,55.0
3072.0,42.0
2903.0,43.0
2921.0,45.0
2779.0,28.0
2774.0,47.0
2846.0,48.0
2920.0,39.0
2802.0,31.0
2955.0,50.0
2970.0,39.0
2824.0,46.0
2976.0,41.0
3183.0,44.0
3026.0,45.0
3040.0,46.0
2938.0,36.0
3274.0,35.0
2767.0,45.0
2742.0,27.0
2746.0,48.0
3006.0,38.0
2696.0,25.0
2907.0,32.0
2816.0,40.0
3188.0,48.0
2862.0,50.0
3091.0,38.0
2909.0,38.0
2796.0,52.0
2929.0,32.0
2810.0,57.0
3101.0,38.0
2989.0,53.0
2967.0,31.0
2930.0,53.0
2940.0,41.0
2932.0,40.0
3128.0,46.0
3056.0,37.0
2784.0,27.0
2826.0,53.0
3020.0,48.0
3031.0,46.0
2859.0,51.0
2658.0,44.0
3028.0,32.0
2858.0,24.0
2983.0,45.0
2942.0,46.0
2617.0,63.0
2854.0,36.0
2886.0,42.0
3018.0,49.0
2718.0,23.0
3079.0,35.0
3042.0,38.0
2833.0,50.0
2997.0,38.0
2512.0,21.0
2925.0,49.0
2902.0,40.0
3035.0,30.0
3020.0,41.0
3145.0,35.0
2854.0,26.0
2881.0,56.0
3024.0,39.0
2970.0,52.0
3014.0,33.0
2894.0,29.0
2703.0,28.0
2962.0,44.0
2903.0,32.0
3094.0,39.0
3000.0,34.0
2687.0,55.0
3045.0,31.0
3049.0,42.0
2903.0,31.0
2906.0,49.0
2925.0,44.0
3005.0,40.0
2952.0,45.0
2854.0,26.0
2862.0,49.0
2835.0,39.0
3017.0,47.0
2342.0,24.0
3029.0,51.0
2717.0,57.0
2861.0,49.0
2906.0,27.0
2995.0,38.0
2870.0,49.0
2952.0,35.0
2954.0,36.0
2850.0,33.0
2580.0,60.0
2896.0,48.0
2843.0,48.0
3110.0,48.0
3117.0,33.0
2830.0,36.0
2877.0,36.0
3072.0,40.0
2920.0,45.0
2997.0,33.0
2583.0,21.0
2728.0,39.0
2965.0,32.0
2858.0,33.0
2990.0,34.0
2853.0,37.0
2983.0,27.0
2788.0,35.0
2831.0,26.0
2841.0,51.0
2794.0,22.0
2936.0,49.0
2951.0,30.0
3129.0,33.0
2886.0,29.0
3141.0,34.0
2947.0,45.0
2989.0,31.0
3123.0,44.0
2922.0,30.0
2917.0,36.0
3002.0,26.0
2887.0,47.0
2605.0,21.0
3023.0,49.0
2767.0,52.0
2902.0,27.0
2938.0,36.0
3020.0,34.0
3051.0,36.0
2897.0,53.0
2637.0,25.0
3027.0,32.0
2958.0,36.0
2989.0,40.0
2854.0,35.0
2965.0,46.0
2980.0,34.0
3123.0,34.0
2981.0,43.0
3085.0,46.0
2973.0,44.0
3031.0,36.0
3044.0,33.0
2982.0,36.0
2613.0,23.0
2859.0,29.0
2756.0,24.0
2978.0,35.0
2853.0,38.0
3006.0,49.0
