cur_year_spend,prev_year_spend,days_since_last_purchase,days_since_first_purchase,total_transactions,age,income,engagement_score
1853.06,1469.68,13,24,26,53,57304.49,-0.2254757739815695
2833.36,1887.83,10,13,41,57,57297.16,-0.033133594852519266
3199.71,1257.9,11,36,29,49,75192.61,0.4076866850808941
1908.08,1035.63,12,23,36,62,55084.06,-0.8921191191370131
4377.5,1808.05,11,62,44,49,69541.76,0.6293476119882252
2247.68,1445.65,17,36,24,55,61155.82,-1.0058734162989909
1498.19,2002.16,17,7,17,47,54002.09,0.8149216359158121
3190.49,836.09,7,75,27,54,74223.6,1.9688868820985583
3356.66,1944.6,10,70,32,57,57138.8,0.18069428740592847
3496.22,1096.1,9,93,36,58,62655.26,1.5144784151784485
1844.83,898.14,12,78,37,52,42182.0,-0.6602294247758258
2415.76,1680.64,12,64,35,67,43212.93,0.3631096162602505
2223.1,1355.12,15,39,18,76,67178.8,1.2657369475484952
3677.32,1543.59,7,40,35,58,73628.83,0.3615485049542903
4568.5,1331.79,18,65,45,72,75396.68,0.8711162614064516
3797.88,2257.69,13,52,15,47,78841.78,-1.2802468336398694
3704.35,1381.45,13,51,42,53,68058.39,-0.9223872739335895
2580.3,1560.65,10,49,23,69,62422.84,-1.1683854208861668
2333.87,2095.24,13,27,24,72,54734.63,-0.0342419151252055
3884.25,1486.63,9,50,31,69,78689.96,-0.2399151961749231
2791.23,2566.64,13,49,6,65,66955.31,-0.6051538747466085
5308.94,2347.74,9,57,42,62,79246.9,0.018187737945241214
3680.73,1514.79,15,17,35,73,80642.11,-0.6608784813407818
2110.23,2281.35,12,53,33,61,34498.93,1.2478423177797784
3969.22,2157.48,7,48,30,52,70484.77,0.3211036385635713
4844.06,1731.47,4,44,44,67,81813.46,-0.3427550199849728
1970.96,1890.5,14,19,27,63,54311.75,1.3414489974707442
3572.41,1182.03,11,42,48,36,65615.27,-1.265845867370584
2753.65,1267.19,19,31,33,72,67469.76,-1.6528425851053459
3928.05,1561.49,10,47,28,53,80622.55,-0.3578634518142796
3172.71,1179.13,18,74,37,39,60597.53,0.28536114103277405
3356.79,1288.89,5,52,17,77,82827.63,0.4576139897440673
4341.58,1871.96,13,53,57,67,59248.97,-0.04788637867078651
2241.84,1687.7,13,31,27,56,57458.2,0.019728476798754332
2467.9,1599.25,16,45,35,61,50855.05,1.6611699898120105
1148.79,623.26,16,36,44,40,37941.22,0.7779538761207949
3056.01,1909.97,7,25,20,63,75470.1,0.5085800266762049
4125.4,1485.73,22,55,42,52,72754.25,1.9353363393460683
2477.02,1570.03,11,26,24,58,65548.02,0.5814618187281128
5149.68,1691.47,18,38,39,81,93151.52,0.2884371407317381
5675.07,2277.37,13,70,36,66,87119.66,1.8654169718968807
1579.24,1154.74,14,30,33,55,49661.29,-0.7958346084030309
3803.81,2001.48,15,59,34,52,65743.24,0.03837760777737245
5076.21,1436.58,19,88,56,73,70367.24,-1.596220707014825
4198.14,1467.03,9,50,39,90,77130.07,-0.5470094236479881
4524.57,1812.35,10,50,52,71,66950.71,1.4741271157864768
3588.31,1359.39,13,55,16,59,86875.2,-0.4226943401790085
4773.72,2263.85,9,62,42,65,69355.03,1.1718377836276914
3256.68,1745.75,5,39,35,61,64623.73,0.17793495401564996
4925.56,1962.16,18,83,35,45,77623.02,-1.6805916170066637
7481.73,2577.99,13,71,33,60,116041.2,0.6051031294613209
4386.72,2125.56,15,51,36,60,74191.62,0.8786062633738668
2203.92,917.33,16,47,32,44,59061.99,1.8888221850110027
3815.94,1061.56,18,30,36,55,85948.76,-0.3951019386970545
2756.24,1508.84,18,82,18,59,61726.07,0.9659335448726084
4414.42,1446.92,10,104,38,59,69232.81,0.5501256268830416
4366.41,1860.65,5,69,37,66,70213.21,1.4493072887286105
987.6,1206.64,21,36,29,73,40244.48,0.3785123053944486
2717.26,2414.82,13,44,36,64,44432.88,0.973169539220232
1507.42,1169.76,24,43,26,63,50146.17,-1.1219129910854988
4696.23,2663.18,16,60,34,51,69039.9,-1.8711769746067268
3164.12,748.14,8,69,51,75,57489.07,1.057377858737378
5569.12,1915.85,19,47,47,50,88170.76,-1.667003736612113
4428.69,1452.11,10,48,47,43,75353.54,0.5092714958109442
5334.63,2636.06,14,59,37,76,80465.99,-0.2813035555257774
452.7,1545.92,11,57,10,62,35049.52,-1.041122628385487
2275.4,713.24,10,65,26,63,62730.4,1.4439284860666561
2592.48,1336.73,15,49,25,69,66169.94,-0.7787159697956344
4031.45,1868.95,12,42,25,56,82785.04,0.7973783106166702
5145.91,2143.46,17,59,36,50,83764.43,0.5425943713734647
2725.09,1606.77,13,60,25,68,60949.08,0.8357614442386162
3639.15,1893.73,10,60,28,65,68555.37,-2.1505814056943997
4117.0,1657.04,3,52,36,69,74408.35,1.1210845665695153
4764.7,2220.51,13,51,32,69,81504.52,-1.3962274844989917
4184.44,1244.27,21,74,30,71,81970.13,0.19975031542399926
3402.77,2039.56,9,74,22,51,64227.7,-0.182159100366184
4409.41,2388.27,12,47,34,54,73256.86,1.0366764448827586
3212.48,1399.39,10,39,37,59,67119.28,0.10170996252481447
3079.99,2003.07,13,38,19,59,71323.83,-0.035524849240889514
2825.58,1112.94,14,38,24,68,75179.71,-0.4981538992108307
5148.09,1192.72,4,57,44,60,92568.51,-1.3599320501610412
5127.53,2507.64,14,44,24,48,92169.5,-0.018111660152905287
824.15,540.05,11,33,38,52,38910.34,-1.9618556058883572
2746.34,1564.57,9,69,26,56,58370.56,0.75741886154864
2560.21,1620.7,16,76,28,58,50154.3,-0.1663841091231254
2327.46,1937.88,15,10,27,54,61932.26,-0.5771232929226253
3378.13,1657.36,16,38,35,60,68765.81,0.5788026300368309
2281.56,1103.32,6,51,35,58,55639.61,0.4275440089596732
3595.73,1798.61,11,61,30,46,66528.66,0.9628526596887506
2515.52,1455.64,10,56,46,60,41304.65,-1.9144254686467264
3034.65,2307.08,14,36,34,43,54966.63,0.019849704043152085
3985.13,2034.41,16,57,29,75,73136.16,0.03525394473687868
3535.53,1626.02,14,70,28,50,69257.61,-1.2419859045803614
4070.35,1855.74,14,47,35,44,74460.01,1.620396473676446
3956.63,730.27,13,79,44,69,73863.53,0.047027739071341966
2383.73,2382.64,9,30,36,61,41586.68,2.3002469548533138
3976.95,1252.19,9,52,40,85,76502.89,-1.0508671187799379
2229.64,200.0,15,54,33,63,66495.07,0.2439871575561033
2693.37,1266.1,12,17,40,68,62434.17,0.8711757416944201
3764.07,1904.91,20,60,32,43,67429.65,0.4917577853964656
1710.72,1174.15,16,49,30,64,46436.05,-0.12741015512655648
3115.54,1273.29,15,40,36,54,68231.1,-1.6738452911107893
3688.41,1918.89,9,59,31,57,68625.61,-1.0673346309365803
5766.52,1834.79,8,90,43,58,83933.86,1.643367222754134
5564.73,2305.6,8,40,35,49,93434.91,-0.9898844182444088
2847.46,1314.65,9,69,52,61,40861.37,-0.8883876029412451
3594.22,1854.02,13,51,41,73,59088.81,0.1589602885674824
2230.99,2008.61,15,51,26,62,46611.37,0.42212820178269184
5099.07,2837.54,14,23,44,63,78331.67,-0.7855915892562851
3936.47,1538.3,20,40,30,64,81662.63,1.5828263725604226
2937.49,1793.47,18,47,41,59,52352.57,-0.2029200790691778
2993.82,1420.48,16,66,28,65,62558.4,1.5964332249449895
3732.68,1986.51,16,51,31,66,70356.38,-0.3561400615106286
1811.75,1058.15,11,28,34,59,53096.52,-0.4983826227461325
3989.28,1918.41,15,35,42,61,70540.13,-0.7960791350132165
2667.82,1362.86,8,12,21,52,78343.06,-0.17292822793938314
2713.3,1627.38,22,42,55,66,38721.05,-0.943943685304152
4264.11,2270.7,17,36,23,58,84120.39,1.0979531461817014
1102.04,680.24,8,49,22,77,50507.95,0.3142198745755153
3563.88,1865.79,17,88,31,55,57165.64,0.4048356155429011
2722.04,1210.09,13,64,17,56,71100.08,1.126620721130436
3746.35,2214.98,16,19,43,48,64269.22,-1.3355904434499066
4830.97,2006.79,14,28,50,60,76884.58,-0.3019631420783231
4312.32,1855.45,11,62,24,59,83812.64,-0.9418434024635866
3254.61,1545.01,0,33,36,71,67801.65,0.8484429655711215
2792.73,998.82,9,53,36,53,62187.26,-0.4837668456204631
3765.01,1722.45,15,75,28,45,69480.79,-1.6673408700554837
4329.63,1508.29,13,68,38,57,76952.21,-0.08397834854406074
3989.46,2075.21,17,79,35,52,60614.25,0.7216483772144141
2364.32,1953.15,14,53,21,76,54371.28,1.3911177762665048
2814.52,675.88,5,74,38,68,61199.94,-1.9868358531692647
3771.2,1409.21,8,60,52,65,59741.21,-0.12918029110486595
4799.75,1477.94,13,84,33,55,85372.61,0.1996543209727016
2427.78,877.87,17,32,43,51,57965.3,-1.4150845500677205
5360.13,1525.97,8,62,46,54,87246.34,0.07685600589819587
4891.79,2067.39,15,61,33,35,82193.77,-0.3834161487171474
4740.34,1875.42,13,45,46,55,76499.89,0.6237939006960134
629.29,701.36,13,87,33,46,25879.65,-1.1939482847329999
2278.65,2324.61,10,34,11,60,61186.72,0.6026686528156345
4422.56,1283.67,19,100,35,75,73320.53,0.5426643505248346
2791.32,1307.17,10,52,23,55,68695.61,-0.5969527548787052
2506.75,753.33,18,24,32,63,71295.25,-0.07904010097451497
1795.9,1701.37,16,30,40,56,37841.33,-0.17276909654796813
2942.22,2488.01,4,51,30,72,49173.97,1.7812563435196018
1431.99,1247.19,20,22,31,67,48142.24,1.0914587562258884
2628.96,1112.51,12,46,28,54,67125.45,0.526988524305367
1418.05,1010.82,13,73,36,60,34908.94,1.125985003342871
4843.57,1698.83,10,79,38,53,78170.98,0.2104412738912608
3930.53,2257.27,18,34,31,56,73353.46,1.2607034811288609
4043.83,2253.87,16,45,28,64,74746.71,0.12383508194792965
4318.14,2563.86,13,42,23,75,80126.43,1.650175071935324
3615.06,1530.6,16,34,31,61,75808.38,-2.100179738191557
4354.19,1957.18,18,57,29,55,78770.33,1.6620646742996303
1878.97,1601.01,17,52,28,73,44865.15,0.4314204919129021
2974.22,1629.11,10,48,34,56,59863.11,-0.9944473560167224
3911.39,1963.15,14,42,12,54,90568.47,-0.4846071930357301
2374.16,1215.4,8,0,25,65,75848.76,-1.0059939603881654
3725.48,2162.14,16,59,44,67,54661.96,-1.2092204018173358
4713.28,2198.78,5,45,50,35,69068.3,0.7321642614624232
4135.94,1562.42,19,48,47,64,69803.35,0.2530346246296251
1796.34,1406.92,13,30,15,49,61651.47,0.32702664841576395
3820.88,1965.39,15,36,23,55,82124.87,-0.0706279064472332
1459.56,1184.53,24,64,28,70,41272.15,-1.838768207655581
3998.32,2414.49,11,15,39,77,69868.57,-0.08749051827767662
4119.18,2062.96,14,54,18,70,83006.04,1.2417131017593426
5076.72,1311.68,19,34,38,54,98977.33,-0.4134443297698173
2862.98,1635.72,12,52,15,52,72427.6,0.04250201457284692
2189.57,1610.43,14,72,35,53,40202.68,-1.8441556378909567
2234.07,1656.66,12,33,13,54,67443.82,-0.3588974127100432
3989.96,1626.91,5,61,33,64,74145.73,1.2575524873514674
2303.54,1543.38,10,40,24,52,58681.72,0.6509199910385756
4792.72,2926.35,10,37,25,58,82408.46,-1.5566563315879238
1816.1,1803.87,22,54,28,60,40659.38,0.2964141139594409
2941.76,1643.89,8,72,28,51,56961.9,0.7035055386217531
5095.17,2007.63,12,96,37,62,73256.21,-0.9073957209307306
1692.73,2082.26,10,24,8,44,58547.33,0.0679321805460621
3655.41,1016.39,17,65,38,60,72959.86,-0.9059431949735376
1338.94,2201.9,1,39,28,70,31483.71,-0.17721570857486027
3465.68,1953.86,9,37,22,51,75221.87,0.9842895520700016
2807.37,2027.48,12,59,35,56,45170.7,1.5862374818924938
3426.6,1567.41,14,23,26,72,79722.27,-1.0409246480069716
3078.16,699.68,20,12,38,60,82511.22,-0.9563304725654757
4172.08,2061.02,17,63,34,59,67341.7,0.8026616478481852
5061.63,1849.4,24,45,33,54,93870.64,0.3910311350782565
4507.1,2149.45,14,59,19,56,89058.24,1.220065750822261
3281.93,1778.56,12,34,25,55,72257.36,0.4199319087445068
1859.82,794.55,14,38,35,60,53938.0,0.5603222383285446
4192.81,2291.63,21,38,52,62,57356.41,-0.8946748412359279
4447.37,1476.93,9,38,37,47,86602.53,1.3356301808942959
4597.57,1827.88,12,41,36,60,84557.45,0.6704275707537354
2889.3,1623.58,15,25,36,70,62101.56,0.7718984602630921
4273.36,1840.39,16,84,34,71,68969.76,-1.3358731364205434
3206.56,1912.78,10,40,34,37,61591.84,-1.0790063328412554
3244.38,2884.87,11,41,29,61,51647.91,0.12231454957953328
2420.47,866.25,15,39,46,45,54135.86,0.09788900589012876
3185.25,1789.81,18,17,30,52,73348.11,0.5612487471535599
4805.25,1888.2,11,45,43,58,81822.76,-0.6927344872256719
2565.41,1872.61,15,24,23,54,65756.03,0.8642975868144699
3612.78,2073.61,19,65,34,45,60975.8,-1.1680015086129385
2255.09,1060.01,22,35,31,64,60789.64,0.7451258114723964
3963.48,1344.09,19,67,39,40,70696.02,0.0980374218402746
2123.68,1937.04,5,54,23,53,49852.24,-0.3182108892499459
2812.24,2498.93,12,51,18,50,57568.61,1.5679977502193598
1922.04,1253.13,12,11,32,53,57927.39,0.0055870834346528715
2508.96,1328.41,13,67,14,56,68103.15,-1.0795919087906354
2701.94,939.43,11,42,30,63,69387.65,-1.0481228180386009
4338.81,1969.75,14,47,11,71,96223.11,-0.9737320959400736
3733.62,1804.3,13,32,34,49,73805.38,-1.09377393326703
2188.69,1077.09,18,63,28,68,55086.47,-0.947604794034165
2698.86,1711.18,16,59,21,57,60853.83,-0.4899199438652418
3811.15,2327.12,9,39,24,60,73008.34,-0.904926829578477
3983.01,1867.59,26,63,47,64,56760.2,-1.6837766437901156
4047.52,1932.94,1,68,37,49,64740.15,-1.240439103819675
3668.81,969.41,19,76,45,43,65724.2,1.713431177760539
3915.9,2449.31,22,52,13,55,79963.65,-0.5921636998134236
1802.94,1808.4,21,39,28,71,44316.21,-0.01268568368840348
3889.39,1631.28,11,48,39,52,70155.34,-0.3647208765518596
3882.42,2519.3,16,61,41,47,51573.29,-0.7324780979960676
4203.28,1781.92,5,47,46,55,68375.36,-0.05541007241268674
4281.79,2208.5,16,28,42,54,74264.76,-0.9492582108072714
4361.08,1596.53,14,59,59,70,59013.75,-1.7016702177902403
3491.04,1572.28,11,73,55,51,43733.52,-0.4083624482431573
3936.65,2152.88,21,42,36,69,68952.25,0.3759245959639386
2390.78,1384.62,12,62,34,53,50591.64,0.14586812398003104
2899.94,1620.44,26,45,34,63,60267.58,0.2826819359236008
1495.21,1323.78,25,61,32,47,37506.82,0.3929445648955303
3914.49,2154.47,11,89,25,54,63343.2,-0.19252083859140096
1187.82,1526.02,19,36,22,60,43415.39,-0.42940944892159133
4985.69,2742.38,15,49,36,58,76246.08,-0.9394746248726332
3179.43,2276.86,12,61,29,59,53864.85,0.9868967061941372
4779.17,1631.39,25,77,34,51,81259.53,-1.6155188048385856
3843.78,1390.7,12,73,43,48,64039.68,0.5867731701929297
4433.08,1277.24,12,41,50,46,78342.28,0.980433137496934
3704.36,1909.27,5,49,43,65,60349.21,-0.537269848607938
2086.32,2116.95,17,83,26,47,35419.49,0.14389079251596476
4423.54,2451.16,14,70,42,65,61206.58,0.8505169124559546
2044.61,988.07,16,50,36,46,49585.56,-0.3569960860141927
4923.01,1079.43,10,50,46,69,88416.16,0.30216724947929496
3632.07,1320.28,10,43,44,50,66538.33,1.7103726580649463
4199.69,1582.14,13,23,35,66,85875.48,0.2961076940869999
4501.51,2003.24,11,43,29,45,85785.53,-1.2286463334607425
4167.48,1180.61,20,50,55,55,66746.89,-1.2358629994508257
6288.71,2331.29,9,64,41,59,93368.92,-0.2605003601742059
3498.27,1545.37,6,72,43,56,55226.77,-0.3143953000598719
2073.79,1176.98,23,29,35,75,55291.01,-0.4805457586271445
3222.72,2289.93,18,50,31,60,56332.56,0.5192663150236416
3349.13,1271.04,20,76,30,54,67764.85,-0.44598396880926106
4717.22,1750.13,13,60,42,56,78144.47,0.7740514140390193
3182.7,1648.14,12,31,44,67,60017.4,-1.8851237595018717
4710.65,1788.01,17,82,39,56,73470.68,-0.9161338906899952
5398.53,2466.17,19,77,37,44,78939.57,-2.571235173323797
5055.39,1971.63,24,44,52,63,73709.54,-0.6876664790272166
3431.39,1653.47,13,37,22,70,78412.69,0.00879970524225904
4374.38,2100.85,13,56,61,66,50729.6,-0.5098932676672119
5700.43,1589.53,11,104,50,32,77231.38,1.9659121872098293
2424.2,1610.5,11,59,23,54,56554.04,1.249825321365461
1482.75,1615.85,1,58,22,60,40700.81,-0.10674045740472723
2512.74,1840.32,16,47,28,62,53886.0,1.1818027328818463
1451.27,2116.25,13,44,11,60,47287.59,2.6007803627756316
2944.36,1659.97,16,94,13,47,63425.46,-0.4420932441814028
4012.69,1775.55,11,18,31,65,84172.19,-0.6580805291292232
4528.43,1419.77,9,45,34,57,89275.0,-0.7335780037188979
4052.14,1600.18,19,25,30,76,87249.99,-1.497618665905982
3267.14,1729.49,16,62,29,58,63421.81,-0.3723573036097121
5273.76,2017.04,14,49,28,68,96260.88,-0.8633506954884704
3815.97,1927.65,21,65,17,40,76759.63,-1.1938909064276464
5884.2,2758.32,10,78,41,51,80956.77,-1.7796045365180362
3701.04,1866.72,19,29,43,71,66083.52,0.4491373138010782
2807.05,1707.35,13,51,26,62,61660.32,0.5263193675454434
3031.14,881.25,8,40,45,61,64328.8,0.3132831507900925
1683.56,2192.28,17,10,24,70,47499.85,0.6467392706015521
3578.38,1524.46,10,98,21,49,70229.82,-1.5325296522349496
4409.09,2914.87,12,44,47,51,55975.78,-0.22073201897324346
2758.87,2724.79,20,45,19,54,55628.25,0.98980730941875
891.72,1328.33,17,57,29,65,32401.54,0.27984459429656783
2289.79,1139.96,19,37,27,68,63210.56,-0.2745388248943555
3420.34,1828.52,13,49,24,73,72268.27,0.4243805244946999
2692.61,2064.56,17,54,22,63,56460.01,-0.8246501606517025
5125.51,1375.34,7,80,15,62,105384.45,-0.7897238544867806
3785.4,1008.3,12,85,13,57,88407.92,0.3705846645778447
3425.43,2173.66,11,42,39,44,54566.85,0.7247385508858594
3767.35,1222.91,12,0,42,72,85048.49,0.7450291509344565
4168.25,1477.63,13,28,36,52,85628.06,0.7843660124638087
2019.63,1496.8,21,64,35,65,40861.64,0.0708903545166214
2647.68,1927.65,14,49,29,63,53069.5,-0.5240872789371346
4841.75,2648.38,24,45,41,55,70988.9,-0.3629853648599757
2876.97,1852.09,20,42,40,64,51467.08,1.3198470867918786
1097.6,898.27,25,62,24,59,43458.55,-1.4228360850886133
4081.6,1519.61,18,109,25,73,72532.51,0.21294227372230726
3848.12,2634.96,14,36,30,53,65839.74,1.4939106686126848
2242.35,1146.21,13,39,34,43,55931.54,2.345872838752223
2548.99,1156.75,15,73,34,68,52672.9,-0.3465415423247952
4640.55,1302.82,14,32,32,78,99165.12,0.42231896869867896
2406.81,1071.03,13,51,23,57,66384.43,-3.3239276214717663
4284.04,1636.07,7,87,41,66,65267.88,-0.4902903340167404
4453.49,1847.73,14,44,48,61,70026.73,0.15816233404408314
3226.08,1865.09,10,49,29,73,63448.07,0.08044577231014585
1557.85,1898.56,12,56,29,48,34134.84,-0.33779511370722626
5589.77,1596.39,6,51,29,68,105783.14,0.002680542553782148
687.7,885.23,5,26,31,70,39156.71,-0.6104667184561802
3888.5,1112.72,13,38,44,62,76150.29,1.066392474538706
3921.29,1228.61,9,39,45,59,74993.78,0.3559224178581761
3541.65,2484.17,12,75,36,67,47002.67,1.2029024517007276
3998.53,1912.21,8,48,37,54,71107.82,0.3549347129974679
3946.9,2389.83,15,30,45,74,61667.13,-0.2715002231119962
2706.36,1412.3,19,24,24,67,71948.78,-2.1769858596468716
2502.86,1531.05,16,68,27,61,53484.35,0.3246556350845368
1287.03,1757.63,12,9,27,74,44652.01,1.1177107354561482
5343.39,1858.91,19,59,47,50,82277.93,1.0209434101178425
4541.41,2210.05,16,42,35,55,77767.2,1.3447553640328356
3301.8,1696.34,8,61,44,53,53170.32,2.064708560294537
5173.31,1896.55,9,54,30,52,94541.76,-1.028221920775625
2937.15,1182.1,9,86,22,68,63519.65,-0.8409610354014587
2611.7,1813.4,15,54,24,63,57732.56,0.5417798420997122
1923.02,1648.59,22,27,26,59,53822.92,0.3896346151924973
3214.58,1851.72,15,65,28,49,59448.89,-2.036330970170249
3471.73,1065.68,21,66,33,58,71914.92,0.19320475027322626
3414.15,1463.77,8,51,27,64,74458.83,-0.4146529658147633
3951.35,1452.05,16,49,23,58,87722.87,0.5445259653204787
3730.14,1820.73,18,27,23,45,83201.25,0.5584835629093745
2392.22,2052.37,13,47,25,67,50640.57,1.559443768499439
3148.96,1714.69,19,8,49,51,59257.6,0.9256193337251905
1889.36,1507.89,12,59,37,62,37812.06,0.6271925321047223
882.89,1393.99,13,25,26,61,39977.62,-1.4402552479815105
5446.75,2146.77,17,59,49,61,79311.7,-0.19830160968049887
3666.11,2191.38,11,54,23,65,70291.87,0.17983436369516512
3422.68,2297.89,19,41,21,61,70447.82,0.8286193089469853
3388.41,1764.76,16,46,43,50,57792.82,-0.5304456434771577
4766.93,1749.97,12,95,36,55,72925.97,0.3278705364834401
3897.29,1563.89,11,59,24,60,81231.45,-0.16423366284015786
3130.86,870.79,12,79,37,71,63605.54,-0.30397116099218546
3801.74,1516.06,13,74,49,50,56995.76,0.4215820279238777
3759.66,2261.93,16,52,29,51,66688.9,-0.7235208461575607
4333.54,2527.61,9,71,42,60,56317.92,0.037544239471555337
6725.24,2035.07,6,53,46,69,104627.56,0.09902589346705627
3632.98,1902.14,17,16,25,56,82053.53,-0.9167052876035816
2160.51,1554.3,20,48,15,65,61427.05,-0.7205620210971104
5811.31,2319.3,15,58,43,52,87042.9,-0.3147368569530529
3410.51,1471.29,13,20,36,60,75530.74,0.5772040759468874
2328.04,1806.61,11,47,22,56,57709.77,-0.3048075125609566
3472.54,2396.73,6,62,19,55,65313.79,0.8765511714566084
4171.68,2011.54,13,55,40,70,68559.17,-0.5435716221677063
906.29,858.54,19,36,20,63,50249.62,1.868899290065689
4083.05,1899.85,12,98,30,47,64152.05,0.7933258252106941
4687.54,1510.52,0,120,41,66,65135.78,-1.2695629509322996
4374.18,2143.07,14,4,54,83,69713.47,-1.0556975407294704
2440.7,796.43,23,39,32,47,64166.02,0.6580578132520238
3426.3,1178.53,19,54,33,60,73281.47,1.9423330658746372
2173.6,1428.36,11,33,24,65,60245.22,-0.8487468814482415
4456.04,2484.54,14,30,38,62,72923.85,0.38101358307398536
3223.6,1319.21,4,76,22,68,70844.51,-0.4678123345500322
4333.38,1897.34,14,59,39,44,71113.5,0.8358395628882428
3177.28,2484.35,13,78,20,53,53820.2,-2.0340880432558723
3384.27,1690.92,11,48,24,65,72647.14,1.3060288806188427
5037.14,2109.59,20,70,38,75,76151.51,1.1706845930841288
3211.97,2164.14,5,58,43,63,46215.97,1.013245646646982
3240.23,1313.31,18,31,29,60,77611.36,-1.0920500399030022
3855.31,2406.06,11,47,33,69,65061.68,0.4255028277904309
2020.54,2099.69,16,48,21,73,46282.24,-1.185833246039414
661.66,1012.1,12,36,30,52,35914.14,0.22185103127833566
2409.31,1856.06,9,33,20,51,61053.82,-0.7155222241563343
3222.92,1165.83,22,82,41,75,55429.32,2.111616264592843
4658.25,2027.44,12,70,19,60,89658.34,-1.871788455814117
2917.78,1305.26,13,40,46,55,55787.98,-0.7205507503581248
631.17,2095.93,20,30,32,73,20000.0,0.3640865976753074
1500.51,2165.87,8,67,11,52,40341.76,-1.7221391707302782
4786.96,1352.96,15,84,35,65,82886.85,-0.07409708513608579
1414.83,766.09,11,67,17,63,54818.86,-1.7365185526938138
3744.9,631.08,18,47,37,70,83943.77,-0.30245864186075816
3403.45,1965.44,17,68,28,58,62201.81,-0.4514698795180138
4210.97,1993.82,5,86,32,46,67767.62,-0.2052007503801852
2833.71,1314.77,10,24,22,53,77470.87,1.5278386010423135
1901.09,1671.97,16,55,20,52,50742.52,-1.0488310615953629
1972.67,2251.82,18,58,18,62,43442.73,0.4673064283683557
2903.57,1501.31,13,58,15,20,72422.78,0.5553379627469225
2543.75,1785.07,19,27,15,56,71260.96,0.2650834094417425
4045.36,2101.24,8,53,31,51,70644.85,0.7311206183751622
4228.34,2501.84,3,50,29,54,71101.95,-0.8727967271492585
2090.8,2344.94,14,57,33,68,33315.78,0.4187899649767344
3103.19,1440.69,17,46,29,58,70106.72,-0.012808647598506835
2818.9,1733.61,20,75,28,58,52812.92,1.1378710672188097
1540.15,2419.18,9,33,22,52,37374.92,-0.5522287021935739
5725.07,1902.68,17,51,36,64,98308.79,-0.8616522979141759
2949.54,2039.25,19,58,43,69,43918.52,-0.06468019792235218
2064.81,1273.9,19,62,32,67,47244.57,1.3018606105933772
1602.87,1594.53,5,35,10,67,60731.86,0.14547436781199327
4947.2,1509.13,14,52,32,54,94668.82,-0.1197436905735458
4083.77,1872.96,11,75,32,57,69112.16,-0.15832991961669976
3436.61,1454.09,13,58,17,63,80779.58,0.25552191006177843
3048.59,745.88,11,60,16,69,84394.67,-0.8975099230011583
6158.96,1795.46,10,53,44,54,102031.88,-0.2049978441054905
4368.91,1110.77,11,91,47,48,67163.88,-0.12632558008380124
