income,age,days_since_purchase,annual_spend
44831,28,487,2957
35925,18,568,3103
29115,30,466,2879
28318,52,141,5092
91851,51,490,4568
103988,48,508,5866
46570,29,420,2034
80936,27,279,1816
129857,32,310,2358
32048,55,245,4557
102253,55,506,6205
44957,54,527,5656
119874,49,431,5079
17239,38,541,2786
119744,28,259,2875
131061,33,307,2694
68510,50,318,5825
83405,53,505,5638
37559,50,361,6137
34498,38,448,2023
109913,44,559,4538
82817,57,312,5066
134100,24,333,2305
104805,29,220,3397
40574,54,500,5487
93054,47,464,5284
68003,52,508,5550
29369,56,349,5663
61665,34,608,243
12247,47,257,4824
114492,53,498,5311
18466,53,270,4414
29299,49,190,4262
99007,41,384,2612
107181,53,534,4867
53080,25,426,3084
107508,31,295,3882
107271,28,346,2529
39300,51,316,5599
49175,54,524,4946
105964,19,274,2523
38762,46,504,4862
52162,51,270,4198
39718,48,391,5998
36049,40,292,4330
98706,20,309,1643
20471,54,472,4657
85957,34,510,5457
144360,20,375,3754
40861,33,486,2828
92517,50,491,5061
47252,30,518,2531
58600,50,298,6764
66998,56,245,6179
126243,27,284,2203
71247,36,607,2868
44468,57,555,6195
23479,25,439,1404
114987,39,350,2605
110348,35,242,1232
85789,26,310,2592
44096,32,461,1309
106896,47,475,4690
95500,47,550,5340
71469,34,461,3113
69268,26,553,3485
106712,26,319,1413
16364,56,484,5607
102092,33,278,2593
53519,50,324,4933
137235,28,347,2673
88202,26,309,2497
123721,46,444,5665
122431,53,456,6329
135237,37,413,5165
26243,48,390,5928
36026,46,358,5700
135695,23,302,2060
115144,32,275,3019
117788,38,516,5074
51222,30,467,2323
98211,66,490,6503
27968,28,544,2720
26343,27,520,3392
118036,36,266,2087
57849,53,303,6002
94895,48,501,5313
136864,54,519,5492
55699,33,526,2463
29947,50,588,6194
41079,50,590,6498
135931,32,295,3263
70682,23,446,3676
43372,35,485,2285
126086,55,501,6927
24554,25,523,2104
123924,45,433,5626
118136,29,258,2569
60102,32,447,2979
133001,60,420,5917
118010,44,469,4864
28905,47,259,5621
46380,43,443,5299
113465,51,540,5078
37125,25,457,2331
109084,23,161,2301
30549,48,422,5136
118909,43,531,6430
97164,51,477,6006
144064,46,478,6046
28963,28,445,2039
43857,23,504,2855
19139,51,319,5096
64899,48,498,5322
87974,28,295,1825
35327,41,274,5144
47790,48,375,5498
62844,45,259,5319
24735,26,473,2988
53554,57,486,4270
119615,30,293,2472
35320,56,423,6765
15969,31,473,2705
5556,45,566,6257
115497,52,518,6043
58384,38,449,2911
141044,42,512,5449
144544,45,487,6293
108719,45,490,6143
141872,44,470,5022
116779,48,545,5420
29174,43,552,4832
94757,50,523,5592
39227,52,483,4706
31928,57,244,6010
71340,33,514,1890
40543,46,292,5864
44135,46,274,4928
121788,34,275,1550
41144,33,515,2830
50355,54,323,6140
45821,44,259,6841
37601,29,541,4350
53862,21,525,1427
95696,45,592,6125
84034,53,467,6283
125191,49,475,5590
140031,55,374,6375
14086,45,217,5263
34138,49,308,6371
49471,48,205,5292
52282,58,508,5674
45494,47,260,6398
129390,59,443,5158
137578,35,341,2935
123765,21,257,3290
17541,34,497,1509
29622,46,546,5771
38151,56,441,6003
17744,40,472,5410
73092,57,499,6432
43895,48,236,7236
49241,48,370,5468
56239,30,531,3225
123805,55,504,5487
44675,29,572,2452
70507,26,275,3359
134675,43,494,5848
43502,22,504,2415
128460,45,387,6110
37763,46,585,5262
46526,38,477,2664
43430,51,241,5328
19971,54,448,4910
74754,24,416,2556
33762,32,483,1969
70518,57,457,5865
38263,21,504,1727
128858,47,442,5586
132701,52,460,4977
34208,49,423,6790
45243,44,290,5183
103801,33,308,2950
30784,50,258,6641
98171,33,557,5075
122325,29,351,2884
152608,44,503,5572
31397,49,393,4775
46170,37,247,5728
15308,25,538,3440
37823,51,328,5230
30777,35,509,2171
49878,34,511,2016
108935,29,240,3488
133258,32,347,2227
51049,30,432,3076
55403,27,473,884
45951,53,446,7155
63759,46,522,5482
59522,48,571,5072
33341,48,509,7059
141380,26,305,2308
112238,47,466,5150
47567,44,316,5625
83622,48,313,5262
58329,50,244,5208
114051,31,239,706
72705,46,351,6020
103670,22,269,1667
64265,41,478,5812
42331,46,274,5252
86956,31,282,2547
46029,46,388,5343
53492,53,537,7203
46916,56,282,5679
33011,55,394,5997
116940,32,375,3095
136159,51,516,7119
129835,27,295,3527
133626,46,380,5346
131224,50,506,5790
137571,55,428,4948
17965,19,499,2642
45392,32,509,3123
50897,54,322,5421
134430,49,468,5227
113760,25,373,3328
45252,56,459,4121
41667,55,290,5176
23182,32,356,2184
119668,31,327,3686
63970,30,463,1583
120229,49,498,5786
47509,33,554,2894
25414,27,566,1724
101703,52,447,5888
120171,32,301,1521
131741,29,290,3029
161232,24,278,2859
117969,49,503,5533
55077,48,472,6186
4180,57,472,5326
66672,51,467,4671
38141,45,271,3268
24664,52,291,5946
100106,32,354,2207
58266,41,275,7380
81718,49,567,5284
66269,20,480,2958
59693,30,500,3923
36280,43,301,5762
51917,54,509,5840
102611,51,520,5052
46974,38,610,2353
43650,46,501,6136
23871,46,445,7122
33740,23,477,2201
116363,52,531,5706
58336,56,548,6554
37803,46,294,6273
48374,34,517,2411
49448,47,279,5206
135815,49,505,5539
43125,46,295,5133
113722,33,287,2033
121228,37,308,2368
54469,24,518,3133
123464,35,248,1748
7986,42,383,5074
0,51,499,6216
144563,53,429,4302
137138,30,365,2528
131880,41,490,4923
88095,58,512,6172
91032,56,524,5595
102121,53,453,4802
60592,34,538,1990
118854,21,280,2367
127667,28,318,3662
101138,44,488,4994
44175,29,508,2620
44108,41,581,3264
32814,33,560,3882
98736,44,302,6529
80510,53,444,6621
128206,48,492,6509
55132,28,524,2859
115594,54,500,5581
128208,31,217,2958
70034,54,299,4876
47296,32,472,2250
105475,25,285,2214
46108,49,556,5671
27396,26,599,3070
50707,35,503,2357
59287,47,323,5894
107738,47,502,6262
102048,27,218,2823
37884,29,498,1156
30821,49,486,6892
43344,35,587,2558
100454,36,306,2341
41284,29,497,2101
140588,61,426,6120
60271,29,512,3409
51605,50,476,6618
118605,54,495,5259
133665,26,311,3066
108415,30,320,1699
124414,45,569,6454
99342,48,507,6338
32343,48,298,4827
133736,47,551,5978
134480,29,361,1507
74851,45,397,6398
33960,33,493,3083
127504,33,333,1692
34760,49,338,5965
103572,33,382,1832
73825,29,529,2464
59269,51,314,5469
70345,54,454,5863
134657,47,445,4660
24622,54,286,6408
119851,44,523,5460
50122,30,470,2777
130369,45,514,4036
56142,48,469,5571
33743,44,278,5530
43998,54,313,5566
94742,50,583,5861
57148,52,457,7022
50673,48,304,5780
136596,36,326,1650
14274,34,468,1399
3679,52,373,4947
41703,30,446,2952
81039,57,368,5564
47953,47,509,4419
42054,50,481,4594
43195,28,571,2588
43137,38,187,5282
63488,51,357,5802
51017,53,350,5653
121882,50,478,4628
41930,55,288,6220
114739,34,313,2599
114674,43,549,5881
129604,28,243,3182
0,48,353,6761
112380,29,233,1181
46034,37,435,1991
126959,43,505,5076
28115,28,589,1524
107913,30,343,2576
72745,58,536,5592
99441,49,443,6514
19731,27,447,2603
35243,56,327,5992
32717,50,471,5959
56381,56,271,6151
25070,50,589,6031
94736,49,548,4938
118600,49,472,5050
92804,22,240,3797
23522,25,522,2083
130596,40,402,6876
141976,34,357,3061
36702,52,563,6164
79061,44,290,5983
130892,30,282,2898
57955,45,220,5771
48078,59,295,5741
92910,33,260,784
28905,46,223,4865
123872,47,472,4819
73515,63,580,4902
110644,27,281,2613
46677,25,469,816
35734,51,186,6130
49213,20,463,2842
144300,36,299,2120
112821,27,327,3285
36114,54,460,5674
61514,52,506,5415
40568,59,461,7572
45674,34,434,2812
27758,32,536,1751
63960,56,535,5894
48533,25,532,2987
22680,25,462,1671
45676,42,541,5175
140043,29,293,1908
98504,44,533,6433
151326,36,282,3586
52568,22,416,3968
50882,33,510,1705
67799,37,448,2626
34921,54,567,5969
36218,35,563,2433
111794,23,214,2357
68788,53,210,5855
19338,53,307,4929
70884,49,331,4695
30616,51,490,4379
103323,46,546,5531
27825,56,297,5577
70081,53,582,6270
123319,27,216,1862
129726,31,262,2406
131768,29,226,1928
18962,30,589,1627
81039,52,542,6327
21466,36,497,1389
116916,47,422,4335
57650,51,506,5828
38452,31,507,1028
100710,31,271,2327
121138,47,495,5659
58691,30,545,2350
99491,35,315,748
93387,32,239,2100
115439,54,532,6236
101583,48,430,3799
104617,30,299,2820
36482,59,450,5087
40456,37,585,1479
132172,46,468,6773
120956,41,395,5960
87850,25,208,3778
122306,41,541,5700
38569,52,503,5958
55780,45,473,5007
25090,35,511,2711
20405,24,473,3018
48363,46,462,5626
33300,54,431,6130
152364,28,274,2180
38446,49,613,6160
142022,54,550,5608
140973,19,233,1863
44234,30,580,3463
138855,27,272,2650
57956,28,485,1752
126891,56,473,4901
48372,46,502,4025
2149,57,329,5472
122279,29,347,3675
69794,54,357,5446
120149,47,586,5779
38684,45,537,5256
97659,40,531,5001
120769,55,489,6323
106654,50,511,5375
130938,47,497,5775
29748,47,486,5986
79977,49,541,5941
113070,49,528,5683
59874,47,277,7137
54951,54,218,4580
128877,27,279,750
92091,34,309,2313
25749,44,476,5040
111577,28,291,1984
34878,51,510,5493
95158,26,285,2362
123327,49,606,5694
26494,22,533,2393
39186,50,539,4679
57780,40,300,6876
25144,50,586,5387
29565,47,336,5972
28213,52,454,5001
47096,59,510,5098
35819,32,537,1887
82313,51,464,5984
47476,44,265,5492
45018,39,525,1912
121148,31,202,2093
113138,28,251,2257
16997,46,487,5720
108333,49,528,5974
70185,47,273,5296
110201,27,256,2859
60254,54,523,6962
58649,38,537,7406
69623,41,278,5209
30451,27,485,2004
116493,46,512,5312
52080,45,338,4932
124724,35,328,2032
23174,38,530,3183
55372,49,281,4710
51332,18,499,2785
42304,55,551,5178
109954,24,324,1599
131758,43,492,5518
38279,45,341,4986
37839,30,585,2831
44807,47,331,4400
134134,33,348,831
96073,39,268,1684
45361,27,485,3014
40803,46,202,5799
128700,32,269,3257
68940,33,495,3111
105315,24,295,2421
132450,33,213,3698
54786,46,495,4974
58989,46,547,5786
21474,45,341,5111
115466,49,479,5693
123916,41,478,6036
17101,38,415,3775
45562,59,259,5987
88203,52,454,4753
64290,34,517,4344
130941,36,304,1888
64722,48,244,5312
134264,62,493,4667
120399,27,361,1840
114506,44,546,4598
81019,32,263,2699
90814,21,359,2929
62718,45,463,5542
141129,50,527,5802
19976,53,303,5985
19855,33,560,1914
55565,49,426,6418
87121,31,233,2231
127007,26,280,4031
85119,26,335,1642
41759,44,223,4208
103946,55,445,5003
40809,45,210,5406
90881,47,454,4512
57912,26,467,1524
40020,45,292,5760
55306,47,435,5033
92074,28,278,2753
69613,33,487,2174
28954,35,567,2901
22835,49,202,5913
108879,27,347,2737
17448,54,336,6494
153083,19,363,2070
100634,47,459,6355
34787,50,467,5495
2613,56,290,6601
129831,38,253,3612
127812,23,269,3542
111176,54,629,5323
115279,51,505,5563
66093,54,360,6417
73303,45,254,4064
48815,51,365,4983
116574,47,466,6411
112667,25,336,4237
66354,30,378,2101
123145,36,310,2224
116902,44,519,5458
116331,56,480,6120
121718,32,389,404
21188,39,480,1769
15776,31,559,2235
52542,50,291,4963
121352,45,468,3724
117711,25,292,3561
10492,50,546,5960
66746,24,422,2423
38686,53,475,5318
28269,50,532,6656
129276,30,260,2399
59340,36,476,2970
62574,42,544,6070
136249,28,354,2312
134573,46,521,5281
127017,45,497,5116
149298,29,372,3138
61119,55,606,5644
42118,33,528,3006
12503,53,301,6829
34121,58,504,5025
39115,33,524,2581
149312,36,299,2232
40352,52,374,6869
32384,43,304,5604
56148,56,210,6078
51585,28,548,2469
144436,27,395,2515
30048,31,495,3214
24897,55,316,5905
125414,30,292,2862
54168,48,503,7266
124739,23,279,2019
10042,48,522,4839
101139,52,507,5295
21813,37,377,2657
33275,54,370,6611
62416,51,292,4330
43124,52,424,4766
125522,28,306,2298
54793,30,520,3849
145081,36,250,2296
118580,48,466,5515
119505,28,220,3591
54317,33,444,1356
29956,55,476,5352
71334,48,254,6029
104665,29,171,3474
114898,56,559,4567
53576,41,510,1955
44897,52,470,6442
55716,41,258,6497
74029,52,184,5969
103984,60,466,5250
32214,54,351,5022
67948,36,548,2370
39919,35,550,2797
114794,53,439,5605
42650,36,633,5188
111299,47,499,5937
50667,49,509,5525
31037,34,486,2630
67833,51,592,5551
127870,30,174,3146
32461,42,267,6618
129071,49,485,5952
54092,51,571,6015
24458,45,483,4780
27503,53,520,4338
134190,49,498,5854
113210,32,367,3022
126888,35,305,3074
45695,52,508,4257
112592,49,443,4673
140494,57,490,5091
29567,52,486,4827
62284,26,633,2443
40047,54,296,5205
51094,31,543,2278
124747,28,351,2665
58109,42,499,5543
46232,52,492,5298
36929,49,506,5871
77163,52,574,4324
113134,36,326,2056
59705,25,479,2489
35942,45,504,5233
126098,56,567,5916
117787,48,479,6039
136994,47,526,5503
134592,35,219,2673
113259,20,329,1732
39637,42,262,5675
43411,49,576,5564
26417,39,248,5865
104921,47,573,5143
103274,25,362,3078
28559,48,543,5471
119911,24,345,2379
32587,46,347,7211
34531,53,543,4782
59734,48,302,6017
56490,53,475,4918
121776,19,276,1922
62432,50,497,4525
132602,30,257,4315
36703,50,301,5218
151558,58,470,6281
83874,27,244,3179
128476,48,540,5246
110139,45,549,5121
113174,49,445,6647
24230,46,345,4984
58603,24,426,3632
97761,34,319,1703
51250,56,544,5082
33781,52,519,4885
28314,34,444,2068
33108,46,375,4189
45169,45,576,5553
130760,48,482,5192
135045,36,388,2896
126126,27,359,1922
126130,50,541,5492
24836,27,449,3456
108556,48,481,5415
45961,25,511,2520
139770,44,491,5537
71188,52,310,5812
31643,27,529,3116
65497,54,222,5061
46866,57,523,5346
54149,44,605,5466
58130,55,531,5317
41687,30,497,2516
89240,20,185,1857
29911,50,315,4217
24995,42,470,1874
109610,48,478,4380
105939,27,287,1267
106065,38,278,1394
56318,55,491,5989
29156,46,612,5753
21278,38,463,3219
58592,60,435,4817
53734,50,365,6127
115106,25,244,1996
25228,22,428,519
124186,52,500,6103
117331,56,561,5600
38472,55,280,5191
3902,31,430,3336
82367,41,472,6356
74005,55,495,5833
13061,48,500,5106
