income,age
110109,59
38091,21
38795,27
52462,48
112857,22
133957,25
84481,49
102347,54
54790,45
124161,45
95169,58
126899,47
129031,29
52384,51
130127,36
115534,32
22858,26
39809,58
48674,58
35882,45
53106,27
116081,53
175073,40
114034,25
41566,43
45489,45
13137,25
114709,48
40945,50
117258,32
124811,30
102747,34
132238,33
124213,48
92940,40
51071,47
36917,32
120590,24
122776,21
56431,53
60673,32
68411,47
28091,27
25266,35
34567,52
116829,46
131896,26
64034,30
116379,46
118079,28
38066,46
39938,47
123857,47
41751,45
72394,28
92418,41
42729,46
154122,36
115636,37
120246,48
89005,25
21823,52
109483,29
50891,38
3628,48
47429,33
59202,25
56686,56
116743,30
88010,32
96112,49
55567,51
42426,33
76176,34
72118,38
68204,31
137757,57
111802,20
156355,25
78654,32
43450,33
58986,48
59670,54
57346,31
138932,25
63289,30
99924,32
144600,52
105432,52
132774,39
130271,46
0,37
35462,39
116184,51
36585,54
47653,53
115535,39
126115,26
149644,53
41469,28
54461,51
45792,25
135542,48
133411,35
62843,46
27972,49
115621,32
54263,34
59625,32
29788,40
44365,41
112292,53
129342,26
106273,31
52798,25
35886,38
48203,31
30124,41
126910,47
81503,24
28346,59
57453,50
114789,30
113258,42
34828,35
20623,44
34701,49
65512,33
123079,30
129248,61
31154,50
29159,24
69608,51
65853,50
96689,40
111257,18
103654,51
110122,36
19793,28
28247,50
132370,43
97748,31
6871,37
135162,23
101342,30
127669,51
123456,29
44790,36
128800,33
99813,34
58501,34
24876,23
87004,54
112459,35
115769,30
49448,45
57248,45
92121,32
123368,51
83543,25
128899,26
84628,36
102913,45
68256,25
133538,51
105018,30
124157,53
98230,58
41779,44
36377,44
143370,30
29982,47
61890,34
104571,53
100355,56
150464,26
98610,42
50189,27
123625,58
61479,52
42073,49
96497,51
49014,36
137076,33
131272,26
110771,31
52062,40
77794,49
125883,45
79721,58
31411,38
117502,49
29282,55
21025,29
35506,54
36985,41
124976,30
117584,23
135507,57
15933,56
108025,55
34512,54
42597,49
74576,53
73044,51
55886,42
37519,54
27683,39
91446,27
51601,19
127550,52
95327,46
92675,55
112466,39
44937,54
70615,29
95102,41
42203,35
16975,31
123857,44
