Target Churn,Target Code,Current Bill Amt,Avg Calls,Avg Calls Weekdays,Account Age,Percent Increase MOM,Acct Plan Subtype,Complaint Code,Avg Days Delinquent,Current TechSupComplaints,Current Days OpenWorkOrders,Equipment Age,Condition of Current Handset,Avg Hours WorkOrderOpenned
No Churn,0,21442,0,0,39,0,Gold,Billing Problem,7.2,0,0,17,1,0
No Churn,0,12712,1095.66667,19126.3333,39,-0.0492958,Silver,Moving,4.2,0,0,10,1,0
Churn,1,5245,695,2827,39,0.08333333,Gold,Billing Problem,36.3,0,0,1,1,0
No Churn,0,17091,7086.33333,24079.6667,26,-0.2868013,Silver,Billing Problem,11.7,0,0,26,1,0
Churn,1,16234,11785.3333,40693,39,-0.3192555,Silver,Billing Problem,16.5,0,0,1,1,0
No Churn,0,15394,1800.66667,11536.3333,38,0.30827068,Silver,Billing Problem,6,0,0,3,1,0
No Churn,0,24593,14618,61836,38,0.30827068,Silver,Billing Problem,6,0,0,3,1,0
No Churn,0,14428,4582.66667,8067,28,0.58181818,Silver,Billing Problem,13.3,0,0,3,1,0
No Churn,0,14519,657,9145,39,0.54225352,Gold,Billing Problem,1.5,0,0,1,1,0
Churn,1,11006,1118.33333,7810,39,0.10655738,Silver,Billing Problem,14.7,0,0,22,1,0
Churn,1,66408,0,0,15,-0.8831169,Gold,Billing Problem,36.2,0,0,17,1,0
Churn,1,22418,22618,116276.667,28,-1,Silver,Billing Problem,16.5,0,0,28,1,0
Churn,1,7037,354.666667,856.666667,36,-0.7777778,Gold,Billing Problem,8.6,0,0,6,1,0
No Churn,0,12712,10958.6667,29999.3333,25,-0.4606742,Silver,Billing Problem,9,0,0,5,1,0
Churn,1,34826,24292.6667,114598.333,39,-0.4174326,Silver,Billing Problem,15.4,0,0,10,1,0
No Churn,0,6834,8718.66667,72599,39,-0.3461538,Gold,Billing Problem,11,0,6,10,1,0
No Churn,0,12712,1840.33333,15487,39,0.37207155,Silver,Check Account,0,0,0,39,1,0
Churn,1,40464,5743,103655.333,39,-1,Silver,Call Quality,20.8,0,0,9,1,0
No Churn,0,32159,12282.3333,84811.3333,39,-0.1835052,Silver,Moving,5.3,0,0,7,1,0
Churn,1,23129,19662.3333,25752.3333,27,-1,Silver,Billing Problem,10.7,0,0,4,1,0
Churn,1,3398,1808.66667,1466,39,-1,Gold,Call Quality,20.7,0,0,37,1,0
No Churn,0,31007,11575.6667,70325,39,0.10390356,Silver,Moving,6.6,0,0,2,1,0
Churn,1,12730,6449.33333,29581,22,-0.2560976,Silver,Call Quality,42.8,0,0,2,1,0
No Churn,0,42996,68143.3333,132707.333,37,-0.3013424,Silver,Call Quality,18.5,0,0,5,1,0
Churn,1,5030,421.333333,2086.66667,39,0.56521739,Gold,Billing Problem,7.5,0,0,11,1,0
Churn,1,26218,58910,194475,39,-1,Silver,Call Quality,12.6,0,0,10,1,0
Churn,1,37854,11034.3333,45587,39,-0.9683365,Silver,Call Quality,37,0,0,10,1,0
No Churn,0,4618,15225,45255,26,0.1218518,Silver,Moving,5.7,0,0,13,1,0
No Churn,0,26324,2489,12830,33,0.84482759,Gold,Billing Problem,10,0,0,21,1,0
No Churn,0,59744,15840.6667,76694.3333,39,2.90222595,Silver,Call Quality,21.8,0,0,19,1,0
No Churn,0,7801,3813.66667,14389,39,-0.2380952,Gold,Billing Problem,10.2,0,0,15,1,0
Churn,1,18932,30753.3333,60527,39,-0.5997705,Silver,Billing Problem,20,0,0,2,1,0
No Churn,0,14407,5573.66667,31776.3333,39,-0.4705882,Silver,Moving,2,0,0,4,1,0
No Churn,0,18259,1535.66667,8011.33333,29,-0.2183908,Silver,Call Quality,15,0,0,14,1,0
No Churn,0,21186,26911.6667,92293.3333,39,0.26501548,Silver,Moving,3.3,0,0,7,1,0
No Churn,0,17332,4887,57840.6667,39,0.94957983,Silver,Billing Problem,11.3,0,4,9,1,0
Churn,1,10169,0,0,39,0,Silver,Billing Problem,16.3,0,0,17,1,0
Churn,1,4329,7612.66667,17444.3333,38,-0.5409916,Silver,Call Quality,19.6,0,0,6,1,0
No Churn,0,9889,6563,6905.66667,39,1.38016529,Gold,Billing Problem,8,0,0,39,1,0
Churn,1,6351,2397.66667,5942,39,-0.4117647,Gold,Billing Problem,10,0,0,39,1,0
No Churn,0,5027,584.666667,1310,39,0,Gold,Billing Problem,14.4,0,0,39,1,0
No Churn,0,14643,5692,16753,33,0.30922693,Silver,Call Quality,11.4,0,0,1,1,0
Churn,1,30045,4045,17422.3333,39,-0.4793926,Gold,Call Quality,30.8,0,0,6,1,0
No Churn,0,21624,5095.66667,56738.6667,19,-0.6701721,Silver,Moving,13.7,0,0,5,1,0
Churn,1,70465,9922.33333,32997,39,-0.1979592,Silver,Billing Problem,15.8,0,0,3,1,0
No Churn,0,15254,1346.66667,31279,39,0.03128743,Silver,Billing Problem,4,0,0,6,1,0
No Churn,0,24777,10701.3333,63747.3333,39,-0.2398098,Silver,Billing Problem,8,0,28,5,1,0
No Churn,0,23535,17177.3333,57542.3333,25,-0.1920215,Silver,Moving,12.5,0,14,5,1,0
Churn,1,45867,29126,76397,39,-0.9983585,Silver,Call Quality,28.3,0,0,12,1,0
Churn,1,60937,13725,58497.3333,39,-1,Silver,Call Quality,36,0,0,7,1,0
Churn,1,8586,607.333333,2037,39,-1,Silver,Billing Problem,13.8,0,0,10,1,0
Churn,1,38683,58576.6667,97977.3333,32,-0.9989956,Silver,Call Quality,19.2,0,0,4,1,0
No Churn,0,12880,2376.66667,6747,39,1.93480792,Silver,Billing Problem,14,0,0,19,1,0
No Churn,0,8611,983,2049,39,1.07,Gold,Call Quality,23.8,0,11,9,1,0
No Churn,0,12925,2612.33333,27944,39,1.58433735,Silver,Moving,7,0,0,15,1,0
No Churn,0,14473,1139,714,39,-0.6511628,Gold,Billing Problem,23,0,0,5,1,0
Churn,1,3347,0,0,39,0,Gold,Moving,4,0,0,17,1,0
No Churn,0,28124,17914.3333,31911.3333,22,0.51404666,Silver,Check Account,0,0,0,3,1,0
No Churn,0,21772,19571.3333,54023,39,-0.311568,Silver,Moving,13.5,0,0,11,1,0
No Churn,0,11435,1175.33333,4154.33333,39,-0.775,Gold,Moving,9.1,0,0,23,1,0
No Churn,0,3653,41.3333333,416.333333,39,2.75,Gold,Check Account,0,0,0,39,1,0
No Churn,0,10169,1612,10919.6667,39,-0.3965517,Silver,Billing Problem,0,0,0,39,1,0
No Churn,0,17543,648.333333,11972.6667,39,0.11909263,Silver,Billing Problem,5.1,0,0,9,1,0
No Churn,0,41794,27550.3333,63767,39,0.13091922,Silver,Moving,5.7,0,0,22,1,0
No Churn,0,18070,3047,21808,27,0.55172414,Silver,Billing Problem,11.5,0,0,14,1,0
No Churn,0,29515,13051.3333,52488.3333,39,-0.1630252,Silver,Moving,0,0,0,25,1,0
No Churn,0,33280,6004.66667,13283,38,0.12264151,Silver,Billing Problem,2,0,0,11,1,0
No Churn,0,18140,9412,44363.3333,39,-0.0161533,Silver,Billing Problem,12.5,0,0,11,1,0
No Churn,0,14407,7183.33333,28341.3333,39,0.06426299,Silver,Billing Problem,3.3,0,0,14,1,0
Churn,1,12712,3270.66667,15382.3333,39,-1,Silver,Billing Problem,44.5,0,0,22,1,0
No Churn,0,16036,7122,30834.6667,39,0.18882741,Silver,Moving,2.3,0,0,3,1,0
Churn,1,17741,10078.6667,67271.6667,39,-0.4527814,Silver,Billing Problem,12.2,0,0,8,1,0
No Churn,0,15254,489,3537.66667,39,1.59039645,Silver,Inaccurate Sales Inf,20,0,0,19,1,0
Churn,1,14213,35161.3333,117443.667,27,-1,Silver,Call Quality,19.5,0,0,7,1,0
No Churn,0,21805,16798.3333,42796.3333,39,-0.304744,Silver,Moving,2,0,0,4,1,0
No Churn,0,17738,9430,64866,27,-0.6097294,Silver,Check Account,0,0,0,2,1,0
No Churn,0,5638,200,3834.66667,39,1.48275862,Gold,Billing Problem,5.8,0,0,10,1,0
Churn,1,9008,21801.3333,76110.6667,39,-0.5227273,Gold,Call Quality,21.7,0,0,2,1,0
No Churn,0,24993,12100.6667,161821.667,39,-0.355778,Silver,Billing Problem,5,0,0,4,1,0
No Churn,0,22401,5661.66667,40031.3333,31,-0.2254098,Silver,Billing Problem,2.4,0,0,5,1,0
No Churn,0,3907,1251.66667,2825.33333,31,-0.2254098,Silver,Billing Problem,2.4,0,0,3,1,0
No Churn,0,4085,851,2513.66667,39,0.75,Gold,Billing Problem,3,0,0,39,1,0
Churn,1,48739,7039.33333,12113.6667,23,-1,Silver,Billing Problem,6,0,0,5,1,0
No Churn,0,18608,8164.66667,44434,39,0.47257537,Silver,Billing Problem,8,0,0,8,1,0
No Churn,0,205937,21655.3333,82362,39,0.80308804,Silver,Check Account,0,0,0,5,1,0
No Churn,0,15194,4869.66667,86306.3333,39,-0.2348817,Silver,Billing Problem,1,0,0,2,1,0
No Churn,0,56709,15802.6667,37242,32,-0.3024883,Silver,Check Account,8,0,0,6,1,0
No Churn,0,9016,12374.3333,29778,39,0.95909033,Silver,Billing Problem,2,0,0,10,1,0
No Churn,0,12142,14874.6667,48047.6667,39,0.81740064,Gold,Call Quality,15,0,0,11,1,0
Churn,1,31598,2873.33333,16958.3333,39,-0.5090909,Silver,Billing Problem,40,0,0,7,1,0
No Churn,0,22144,25041.3333,49914,39,-0.5469954,Silver,Moving,3.4,0,0,14,1,0
No Churn,0,43163,15830.3333,103722,39,0.20045155,Silver,Billing Problem,11.8,0,0,4,1,0
No Churn,0,19312,32305.6667,88880.6667,39,0.228471,Silver,Billing Problem,12.5,0,0,11,1,0
No Churn,0,14525,15972,71639,39,-0.0194986,Silver,Billing Problem,0,0,2,1,1,0
No Churn,0,34228,21226.6667,235307,23,0.19738606,Silver,Billing Problem,17.2,0,0,4,1,0
No Churn,0,6073,13406.6667,28311.3333,39,0.11827957,Gold,Billing Problem,1,0,0,5,1,0
Churn,1,3347,0,0,39,0,Gold,Billing Problem,20,0,0,17,1,0
Churn,1,21303,7940.33333,87304.6667,15,-0.3854749,Silver,Billing Problem,19.1,0,0,5,1,0
No Churn,0,28862,6232.66667,94726,39,-0.4993256,Silver,Moving,4,0,0,1,1,0
Churn,1,28092,2612,20827,15,-1,Gold,Billing Problem,23.3,0,0,35,1,0
No Churn,0,12712,5176.33333,8401.66667,39,0.71428571,Silver,Billing Problem,8.3,0,0,15,1,0
Churn,1,40174,7825.33333,124363.333,39,-0.1046757,Silver,Billing Problem,12.2,0,0,11,1,0
No Churn,0,24681,3648.66667,13902,39,0.49120022,Silver,Billing Problem,10.3,0,0,8,1,0
Churn,1,8474,1181.66667,2247,39,-0.5188147,Silver,Moving,13,0,0,12,1,0
Churn,1,25728,13016.3333,55545.6667,39,-0.4418518,Silver,Call Quality,13.8,0,0,1,1,0
Churn,1,8474,7285.66667,25092.3333,26,-0.5433581,Silver,Billing Problem,17.3,0,0,4,1,0
Churn,1,26398,9619.33333,47582,39,-0.5737705,Gold,Billing Problem,15.9,0,0,4,1,0
Churn,1,51596,0,32,39,0,Gold,Billing Problem,41.5,0,0,17,1,0
No Churn,0,12340,12389.3333,15613.3333,39,0.05953538,Silver,Check Account,2,0,0,3,1,0
No Churn,0,16702,5639.33333,28743.3333,39,0.30372429,Silver,Billing Problem,4,0,0,3,1,0
No Churn,0,17345,3135.66667,19050.6667,28,-0.0733325,Silver,Billing Problem,23.3,0,0,2,1,0
Churn,1,27277,16110.6667,48941.3333,39,-0.6804909,Silver,Billing Problem,5,0,0,3,1,0
No Churn,0,9591,1971.33333,29603.3333,39,-0.4213532,Silver,Billing Problem,11.2,0,0,8,1,0
No Churn,0,39295,6641.33333,42505.3333,39,-0.3458368,Silver,Billing Problem,17,0,0,9,1,0
Churn,1,3347,0,0,39,0,Gold,Billing Problem,57,0,0,17,1,0
No Churn,0,33729,2181,8542.33333,39,0.30434783,Silver,Billing Problem,0,0,0,7,1,0
Churn,1,13031,4415,19485.6667,39,-0.3367347,Silver,Billing Problem,10.8,0,0,21,1,0
Churn,1,12712,32712.6667,101605.333,39,-0.9990622,Silver,Call Quality,47.3,0,0,24,1,0
No Churn,0,22130,15003.6667,56746.6667,39,-0.1982249,Silver,Moving,2,0,0,5,1,0
Churn,1,10169,6908.66667,26713.3333,39,-1,Silver,Call Quality,23.4,0,0,15,1,0
Churn,1,3347,2899.33333,12333.6667,39,1.29411765,Gold,Billing Problem,16.8,0,0,8,1,0
No Churn,0,12712,1694,18568.3333,39,0.29770992,Silver,Moving,5,0,0,8,1,0
No Churn,0,12712,3805,37122,39,0.0678416,Silver,Billing Problem,0,0,0,18,1,0
Churn,1,19905,15141,31724.6667,39,-0.0650685,Silver,Call Quality,22.8,0,0,5,1,0
No Churn,0,12712,0,0,28,1.61904762,Silver,Call Quality,21,0,0,17,1,0
No Churn,0,45288,35404.6667,235695,39,-0.2907093,Silver,Billing Problem,8,0,0,1,1,0
Churn,1,8158,258,3557.33333,39,-0.0163934,Gold,Billing Problem,14.8,0,0,38,1,0
No Churn,0,18531,17209.3333,50446.3333,39,0.68292683,Silver,Billing Problem,12.8,0,0,5,1,0
No Churn,0,25102,4630,10207.6667,39,0.64383562,Silver,Billing Problem,3.6,0,0,5,1,0
Churn,1,23705,10432,55877,39,-0.3074766,Silver,Billing Problem,7.8,0,0,1,1,0
No Churn,0,15121,9554.66667,60813,39,-0.2785806,Silver,Billing Problem,8,0,0,5,1,0
No Churn,0,9900,375,7164,32,0.86623165,Silver,Billing Problem,16,0,0,10,1,0
No Churn,0,77364,9851.33333,84803,39,-0.1751443,Silver,Billing Problem,13.3,0,0,2,1,0
No Churn,0,11188,1324,2987.33333,39,1.472,Gold,Billing Problem,11.3,0,0,16,1,0
Churn,1,12712,22278,75392.6667,39,0.22616107,Silver,Call Quality,8.3,0,0,23,1,0
No Churn,0,27406,4699.66667,63728.3333,22,-0.1050119,Silver,Billing Problem,14.8,0,0,22,1,0
No Churn,0,20466,3707,34814,39,-0.0040509,Silver,Check Account,0,0,0,1,1,0
No Churn,0,5995,1786.66667,2563.33333,39,1.06896552,Gold,Billing Problem,0,0,0,39,1,0
Churn,1,5204,2700.66667,8376.33333,39,-0.9268293,Gold,Moving,16,0,0,13,1,0
Churn,1,3469,3436.33333,21351.3333,26,-0.9754098,Gold,Call Quality,30.6,0,0,22,1,0
Churn,1,15254,13581.3333,55497,39,-0.4764485,Silver,Moving,11.7,0,0,11,1,0
Churn,1,57255,42465,190134.667,39,-0.3439861,Silver,Call Quality,11,0,0,8,1,0
Churn,1,34440,12980,147120,39,-0.1790123,Silver,Call Quality,27.3,0,0,12,1,0
No Churn,0,29056,5759.66667,14200,39,-0.8700787,Gold,Billing Problem,14.8,0,0,0,1,0
No Churn,0,11630,3830.66667,14575,39,2.875,Gold,Call Quality,17.8,0,0,13,1,0
No Churn,0,8890,1236.33333,9402.66667,39,-0.1678832,Gold,Call Quality,7.8,0,0,2,1,0
No Churn,0,11258,3557.33333,4763.33333,39,0.5,Gold,Billing Problem,7.8,0,0,10,1,0
Churn,1,29929,2145.66667,135516.333,39,-0.625895,Silver,Call Quality,20.3,0,0,3,1,0
No Churn,0,4263,0,10.6666667,38,0,Gold,Moving,1,0,0,17,1,0
Churn,1,10411,24457.6667,141684.333,39,-1,Silver,Call Quality,25.6,0,34,15,1,0
No Churn,0,26584,11168,39611.3333,39,-0.3281437,Silver,Check Account,34,0,0,14,1,0
Churn,1,49376,35316,131679.333,39,-0.4313656,Silver,Billing Problem,36.4,0,0,15,1,0
No Churn,0,37458,10303,116973.667,29,0.19695503,Silver,Billing Problem,14,0,0,5,1,0
No Churn,0,21393,14552,48856.6667,34,0.03363229,Silver,Billing Problem,3.4,0,0,7,1,0
No Churn,0,16656,3525.33333,16393.6667,25,-0.1764706,Silver,Moving,2.8,0,0,7,1,0
No Churn,0,21186,16884.6667,93525,39,0.2360515,Silver,Moving,0,0,0,1,1,0
No Churn,0,12830,8386.66667,41526,39,-0.1919355,Silver,Moving,2,0,0,23,1,0
No Churn,0,21228,423,18921,39,-0.2075472,Silver,Billing Problem,2,0,0,11,1,0
No Churn,0,33673,20269.6667,54164.3333,39,-0.451,Silver,Check Account,12.2,0,6.5,10,1,0
No Churn,0,8462,61.6666667,35.3333333,39,1,Gold,Moving,4,0,0,22,1,0
No Churn,0,15425,477.666667,8245.33333,39,-0.9435794,Silver,Billing Problem,16.8,0,0,7,1,0
Churn,1,12712,5164.66667,10692,39,-1,Silver,Billing Problem,15,0,0,18,1,0
No Churn,0,25487,1697.66667,9282.66667,39,-0.8306245,Silver,Billing Problem,6.3,0,0,0,1,0
Churn,1,3780,751.666667,1894.33333,24,0.5,Gold,Billing Problem,32.6,0,0,39,1,0
No Churn,0,14407,11401.6667,20455,34,-0.2425952,Silver,Billing Problem,0,0,0,22,1,0
No Churn,0,11493,5849.33333,19465.3333,24,-0.0293014,Silver,Billing Problem,2,0,0,8,1,0
No Churn,0,15347,14835.6667,45714.6667,39,-0.35589,Silver,Billing Problem,5.4,0,0,1,1,0
Churn,1,17239,22077.6667,87728,39,-0.3576687,Silver,Billing Problem,19.4,0,0,4,1,0
No Churn,0,8601,4220.66667,17599.6667,39,0.03322634,Silver,Billing Problem,7,0,0,8,1,0
No Churn,0,12712,0,0,26,0.20168067,Silver,Moving,6,0,0,17,1,0
No Churn,0,12712,0,0,26,0,Silver,Billing Problem,13.3,0,0,17,1,0
Churn,1,7164,850.666667,17682,39,-0.3119266,Gold,Call Quality,22.7,0,0,39,1,0
Churn,1,12712,4808.33333,12878.6667,39,-0.3844918,Silver,Billing Problem,16.9,0,0,38,1,0
No Churn,0,9714,5119,28749,34,-0.6206897,Gold,Check Account,7.7,0,0,4,1,0
Churn,1,30985,75.6666667,19450.6667,39,-0.9616555,Silver,Call Quality,3,0,0,21,1,0
Churn,1,14250,0,111.666667,32,-0.5,Gold,Call Quality,25,0,0,17,1,0
Churn,1,22915,10940.3333,12258.3333,32,-0.5,Gold,Call Quality,25,0,0,26,1,0
No Churn,0,16653,3125.66667,7445.66667,39,-0.4893617,Silver,Moving,0,0,0,38,1,0
No Churn,0,24257,25945.6667,95533.6667,39,0.15125613,Silver,Moving,5,0,0,36,1,0
Churn,1,19541,1470,7443.33333,39,-1,Gold,Billing Problem,25,0,0,39,1,0
No Churn,0,12712,5481.66667,26623,30,-0.2732919,Silver,Moving,0,0,0,11,1,0
No Churn,0,32267,2533.33333,13739.3333,39,0.75801749,Silver,Moving,1.8,0,0,2,1,0
Churn,1,9126,14057.6667,45333.3333,39,-1,Silver,Call Quality,12.3,0,0,2,1,0
No Churn,0,62705,3067.66667,12405.6667,22,-0.4592721,Silver,Billing Problem,5.8,0,0,10,1,0
No Churn,0,16443,1803.66667,7058,39,0.13888889,Gold,Billing Problem,3.8,0,0,39,1,0
Churn,1,17196,4390.66667,103976.667,39,-1,Silver,Call Quality,25.7,0,0,11,1,0
No Churn,0,7063,605.666667,1639.33333,39,-0.5555556,Gold,Billing Problem,4.2,0,0,19,1,0
Churn,1,17260,24688,165402.333,39,-0.3149171,Silver,Billing Problem,17.4,0,0,7,1,0
Churn,1,10804,11594,31354,39,-0.7497059,Silver,Call Quality,12.2,0,0,3,1,0
Churn,1,3347,0,4,39,0,Gold,Billing Problem,48.3,0,0,17,1,0
Churn,1,14407,2403,40057.3333,31,-1,Silver,Billing Problem,38,0,0,4,1,0
No Churn,0,21631,17190.3333,51041.6667,38,0.01875,Silver,Billing Problem,12.5,0,0,8,1,0
No Churn,0,8441,2216,3708,38,-0.7717391,Gold,Billing Problem,4.2,0,0,4,1,0
No Churn,0,25754,4540.33333,55623.3333,38,-0.3886114,Silver,Billing Problem,12.5,0,0,18,1,0
Churn,1,3347,2243.66667,7694.66667,38,-1,Gold,Call Quality,23.8,0,0,23,1,0
No Churn,0,28016,7365.66667,32487,38,-0.1779477,Silver,Billing Problem,0,0,0,4,1,0
No Churn,0,12387,3666.66667,35965,38,-0.5786028,Silver,Billing Problem,7.8,0,0,3,1,0
Churn,1,7190,0,0,18,-1,Gold,Billing Problem,28.2,0,0,17,1,0
Churn,1,10727,841.333333,16475,18,-1,Gold,Billing Problem,28.2,0,0,19,1,0
No Churn,0,24401,7795.66667,32749.3333,38,0.14878049,Silver,Moving,11,0,11,6,1,0
No Churn,0,36148,3663.66667,35341.3333,38,-0.0171141,Silver,Moving,7,0,0,11,1,0
Churn,1,9525,3071,58360,38,-0.7925822,Silver,Billing Problem,14.3,0,0,3,1,0
Churn,1,30912,10187.3333,61732.3333,38,-1,Silver,Billing Problem,12,0,0,38,1,0
Churn,1,21814,1958.33333,34484.6667,38,-1,Silver,Billing Problem,26,0,0,18,1,0
No Churn,0,27428,33371,275017,27,0.20461632,Silver,Billing Problem,11.3,0,0,13,1,0
Churn,1,10877,1193.66667,6673,23,-0.047619,Gold,Billing Problem,22.6,0,0,11,1,0
No Churn,0,20418,24416.3333,127338,38,0.14677661,Silver,Billing Problem,8.4,0,0,21,1,0
No Churn,0,31947,19166.3333,54528,38,0.22816594,Silver,Moving,21.5,0,0,8,1,0
Churn,1,27270,1771.33333,3886,38,-0.2682927,Gold,Call Quality,18.5,0,0,4,1,0
No Churn,0,22550,19417.3333,63884.3333,38,-0.4211983,Silver,Billing Problem,20.8,0,19,15,1,0
Churn,1,8945,954.666667,4013.33333,38,0.47457627,Gold,Billing Problem,15.4,0,0,5,1,0
Churn,1,35966,5435.33333,27020.3333,38,-0.2510913,Silver,Call Quality,12,0,0,19,1,0
No Churn,0,50024,8722.33333,14504.6667,23,-0.1298709,Silver,Check Account,0,0,0,7,1,0
Churn,1,21645,4448.66667,48101.6667,38,-0.9891697,Silver,Call Quality,19.8,0,0,10,1,0
Churn,1,15786,5548.66667,29613,38,-0.9691781,Silver,Billing Problem,24.8,0,0,13,1,0
No Churn,0,5121,4739,32299,33,0.49491479,Silver,Check Account,0,0,0,1,1,0
No Churn,0,5232,1352.66667,6937.66667,38,0.97859384,Silver,Billing Problem,12,0,0,1,1,0
No Churn,0,13243,2314,13223.3333,24,-0.4726563,Silver,Billing Problem,14,0,0,24,1,0
No Churn,0,22284,1867,15349.6667,38,-0.4588235,Silver,Billing Problem,10.2,0,0,3,1,0
Churn,1,12898,0,0,24,-0.7647059,Silver,Call Quality,15.3,0,0,17,1,0
Churn,1,22875,24954.3333,77394.3333,38,-0.9551887,Silver,Call Quality,22.2,0,0,3,1,0
No Churn,0,4671,1495,6670.66667,38,-0.1428571,Gold,Billing Problem,8.5,0,0,4,1,0
No Churn,0,109160,0,13.3333333,38,0,Gold,Billing Problem,11,0,0,17,1,0
Churn,1,4932,370.333333,1301.66667,30,0.14545455,Gold,Call Quality,17,0,0,30,1,0
Churn,1,13100,10076.3333,22130,19,0.04900459,Silver,Billing Problem,15.9,0,0,20,1,0
Churn,1,3347,152,38,38,0,Gold,Call Quality,20.3,0,0,17,1,0
No Churn,0,302117,4397,17205,18,0.04411765,Silver,Moving,7,0,0,18,1,0
No Churn,0,14006,14436,25053.6667,38,0.57587549,Silver,Moving,12,0,0,24,1,0
No Churn,0,5716,35945.6667,109231.667,22,-0.7400228,Gold,Billing Problem,12.2,0,0,10,1,0
